source,target,weight
664583958867488152,1017961839578329056,218
664583958867488152,256879592361462926,349
664583958867488152,1889261758556835928,367
664583958867488152,1330086993970882569,46
664583958867488152,2187872363413950873,22
664583958867488152,2152544258597173073,14
664583958867488152,1327484401900923490,15
664583958867488152,557754086795988174,20
664583958867488152,1303749093522347624,288
664583958867488152,1741745939784649911,14
664583958867488152,1604204092143567425,285
664583958867488152,57564119733964031,213
664583958867488152,656689315033052542,251
664583958867488152,1784936488270234381,53
664583958867488152,1835998077068082228,25
664583958867488152,128780920494259388,12
664583958867488152,1289847762178360592,66
664583958867488152,1755409832942811786,48
664583958867488152,1186107825716447885,188
664583958867488152,1831278467383135083,19
664583958867488152,1802358189320825928,116
664583958867488152,1455880075760360480,29
664583958867488152,1070373929147907308,61
664583958867488152,2096347915761965343,95
664583958867488152,203798170563224992,38
664583958867488152,1311122000951597329,21
664583958867488152,411797304352938379,33
664583958867488152,969183092647515912,42
1697050756537835035,1033329303902013885,11
1697050756537835035,772504040647773919,11
1697050756537835035,764993748459196022,23
1697050756537835035,576822774200611005,25
1697050756537835035,1308047235608343840,18
1479937745722905654,954027936710682599,12
1479937745722905654,543225384765486363,16
1479937745722905654,1871547211873049937,20
1479937745722905654,992892238680601908,14
1479937745722905654,171815908453612204,30
1479937745722905654,386444737270295453,14
1479937745722905654,738853611553152984,16
1479937745722905654,364304604371042621,12
1479937745722905654,67162367142536626,20
1479937745722905654,824719487168368812,14
1494990904277908302,2294478907136656586,25
1494990904277908302,348574214206743494,12
1494990904277908302,1667800398846839270,29
1494990904277908302,2269070755451585189,27
1494990904277908302,212427151310712589,26
1494990904277908302,2237942552255912074,43
1494990904277908302,2076945032516882770,21
1494990904277908302,57968931796736467,19
1494990904277908302,355800263743809600,12
918005921707624599,1889261758556835928,12
918005921707624599,1260873443102023234,20
918005921707624599,1968973952824002403,55
1067540120299372027,557754086795988174,12
1067540120299372027,2294478907136656586,108
1067540120299372027,348574214206743494,42
1067540120299372027,1544510239250836352,19
1067540120299372027,1354490147085089533,39
1067540120299372027,2269070755451585189,103
1067540120299372027,212427151310712589,127
1067540120299372027,2017046112221908892,24
1067540120299372027,2237942552255912074,141
1067540120299372027,57968931796736467,77
1504164054009908741,1889261758556835928,15
1504164054009908741,2096347915761965343,15
2072071872737986435,1889261758556835928,45
2072071872737986435,2096347915761965343,27
1175720586859200386,1889261758556835928,21
1175720586859200386,1784826213161699191,12
1175720586859200386,1064086509541148078,24
1175720586859200386,1391955532970167906,32
1175720586859200386,1388015766250521195,29
1175720586859200386,910750941863751714,17
1175720586859200386,1327484401900923490,12
1175720586859200386,1255278396620218767,23
1175720586859200386,1033329303902013885,18
1175720586859200386,1505662532983448206,17
1175720586859200386,2289667831428644075,20
1175720586859200386,1604204092143567425,11
1175720586859200386,1422372736821732616,15
