key,size,go_fn
664583958867488152,29,lipid binding
1697050756537835035,29,inflammatory response
1479937745722905654,29,DNA binding
1494990904277908302,29,DNA binding
918005921707624599,29,inflammatory response
1067540120299372027,29,GTPase activity
1504164054009908741,29,virus receptor activity
2072071872737986435,29,
1175720586859200386,28,
480891009145629236,28,GTPase activity
1116798849449044774,28,GTPase activity
1636894278187818761,28,inflammatory response
1242703467362895344,28,cell adhesion
1037400694494136447,28,DNA repair
1017961839578329056,28,lipid binding
256879592361462926,28,
1889261758556835928,28,
1836942282550850946,28,inflammatory response
1330086993970882569,28,lipid binding
976191775324548181,28,
1587405073138396497,28,inflammatory response
427663103074141973,28,DNA binding
2055662195089397701,28,
1784826213161699191,28,
747551765727052735,27,inflammatory response
2187872363413950873,27,lipid binding
1064086509541148078,27,transferase activity
524062361126087400,27,DNA repair
1294509107619848111,27,inflammatory response
212378154321433894,27,inflammatory response
1446812027929839221,27,RNA binding
2152544258597173073,27,RNA binding
1087278227013098209,27,
1391955532970167906,27,DNA binding
1112476033068198642,27,ligase activity
197967937266821620,27,lipid binding
1780497196646401892,27,cell adhesion
1150859624490001609,27,DNA repair
1388015766250521195,26,
1169846602993755253,26,
2291526971190505522,26,protein tag activity
2182454756737542283,26,histone binding
1028163868070336068,26,
910750941863751714,26,
485512141812684036,26,inflammatory response
63068646579589578,26,inflammatory response
1986377806347139676,26,cell adhesion
1082135220308609887,26,inflammatory response
709627176004247141,26,respiratory system process
910048383966879622,26,DNA repair
1672121809037454674,26,cell adhesion
2009795881938233042,25,inflammatory response
1647456646448059677,25,DNA repair
786322479791548197,25,
733787994896055828,25,inflammatory response
276409707950264295,25,
1493044578922693931,25,
1065271942179088009,25,
1483589301250647041,25,inflammatory response
2214427562222378,25,
311103060898139475,25,ligase activity
1327484401900923490,25,lipid binding
1411156842651283556,25,
1763020187691193910,25,
1105394816000945932,25,
1315699568730182702,25,
2214970497703891219,25,virus receptor activity
1255278396620218767,24,inflammatory response
1272834448131939603,24,protein tag activity
1504224565183705458,24,
1405042282431985256,24,
2154633315133767614,24,
1033329303902013885,24,inflammatory response
2143661430186066915,24,inflammatory response
1405582491942291100,24,inflammatory response
2299609376680046214,24,inflammatory response
1369270493263514308,24,
481451826096486517,24,DNA binding
126858542241756289,24,cell adhesion
174388620474211977,24,cell adhesion
726753289690307734,24,
2257343681839146709,24,
1835959413281804849,24,
1505662532983448206,23,inflammatory response
2289667831428644075,23,
557754086795988174,23,GTPase activity
1958093121035940845,23,DNA repair
1390132697108868195,23,inflammatory response
1041235975295938943,23,inflammatory response
1293829421901705661,23,inflammatory response
1303749093522347624,23,lipid binding
807865316242041239,23,inflammatory response
329580137253451358,23,
1749319949762710324,23,cell adhesion
1296295014472461957,23,
1358541406839277268,23,
626965283265578375,23,
699728972000232298,23,
1196658853721830876,23,
2082806774612089416,23,
1489881036331208062,22,RNA binding
1246262268366531481,22,DNA repair
1741745939784649911,22,
1604204092143567425,22,
786516833121109245,22,molecular adaptor activity
279572469729513019,22,inflammatory response
1138619415304854059,22,inflammatory response
2193065831286255336,22,inflammatory response
1479781150011502016,22,GTPase activity
1133948625370053602,22,GTPase activity
2040101855455874141,22,inflammatory response
976421061018968763,22,
2280299257375996143,22,DNA binding
620152133076746275,22,inflammatory response
2203230476577940944,22,
178931635414197456,22,
319563144399923976,22,cell adhesion
606872422748706891,22,
670942710586765546,22,inflammatory response
1422372736821732616,22,inflammatory response
446743869927106111,22,
909690608261101107,22,cell adhesion
2233154945648115968,22,inflammatory response
249257520938521102,22,cell adhesion
1418060294313676265,21,DNA repair
845373326751334141,21,DNA repair
519278021407291645,21,inflammatory response
1300444946999494613,21,GTPase activity
1827510288229123778,21,
710493391183453086,21,
583947867375793942,21,
563977598525293157,21,
906427366158127973,21,inflammatory response
1447590001418161985,21,inflammatory response
1504963070408417334,21,inflammatory response
839655589240235666,21,inflammatory response
2173117400481752629,21,inflammatory response
876932837917113749,21,RNA binding
1028054933176765489,21,virus receptor activity
1253394943171906098,21,molecular adaptor activity
751223124686595712,21,
28614936858073952,21,
553641627388988489,21,GTPase activity
1175876533427182191,21,inflammatory response
1202391441005935672,21,
646003711753591058,21,inflammatory response
1039015141759819183,21,inflammatory response
1430803450092710608,20,
1420594000092934888,20,
2294478907136656586,20,cell adhesion
310747657654070635,20,
57564119733964031,20,lipid binding
1751305313452637696,20,cell adhesion
1309130221048065418,20,inflammatory response
154665113611445033,20,inflammatory response
656689315033052542,20,
1998862088097127255,20,
1628313628520010458,20,
2258208641357597626,20,
1138675705139783299,20,inflammatory response
357870210551233198,20,
470808605499340799,20,DNA binding
548807670577195862,20,
1126716908735305221,20,
1218108278509249360,19,DNA repair
480610095645262348,19,inflammatory response
1813662529429580784,19,molecular adaptor activity
192964025586002504,19,
161322178684364469,19,inflammatory response
1967093413432523877,19,inflammatory response
1556209458678939742,19,inflammatory response
485120906295877576,19,
1460224967003093131,19,inflammatory response
2200696411108641811,19,inflammatory response
1113770819695169449,19,ligase activity
2033135719742331143,19,
1954958577825655546,19,RNA binding
1429387411849782630,19,
1180146425339777266,19,
1784936488270234381,19,lipid binding
592962865730860355,19,ligase activity
1762419364125644454,19,
2206184785629371491,19,
794543485059950959,19,
1163505817513951224,18,DNA repair
348574214206743494,18,GTPase activity
1330564354937895029,18,
1117906042972202773,18,GTPase activity
1953567510069131551,18,
1544510239250836352,18,GTPase activity
205696634245716507,18,GTPase activity
2095836436110233480,18,inflammatory response
383746058610267154,18,inflammatory response
1908279280137873233,18,ligase activity
1871404601947588689,18,inflammatory response
2086992832188122668,18,
744961291756297896,18,
1835998077068082228,18,
658989732844702227,18,cell adhesion
484617631452195508,18,GTPase activity
1970389532384814376,18,inflammatory response
831224249335587943,18,
845719361455664840,18,
191351473306048257,18,
2190387441027275729,18,ligase activity
2083164837849813333,18,inflammatory response
424666497818215941,18,
748357456781403985,18,inflammatory response
607082945594591458,18,
2186008713526031532,18,ligase activity
2159570701446713640,18,
832095378217970937,17,
2269539733644048864,17,
575821626231679208,17,
128780920494259388,17,lipid binding
943912604742576578,17,
1289847762178360592,17,respiratory system process
2278569287990015752,17,inflammatory response
634294183948068540,17,inflammatory response
758306674007355216,17,DNA repair
529622181532067200,17,ligase activity
1368127703929113106,17,inflammatory response
1214301728698543511,17,inflammatory response
2241139843503810302,17,GTPase activity
1242570554831168203,17,DNA binding
1193519234980622704,17,DNA repair
2223831670472292422,17,
404401406353532609,17,
967759155221300552,17,
443811567247706310,17,
1470297811961819576,17,
1986925731408794623,17,
969301191041383564,16,molecular adaptor activity
970055662908784212,16,DNA repair
1405268289378890146,16,GTPase activity
1755409832942811786,16,lipid binding
1880776472183437460,16,
898691927084847472,16,
1058078703545972675,16,
1354490147085089533,16,
460368133431547848,16,inflammatory response
1209171791149493627,16,
2214131750495883695,16,
263432935477761119,16,
1051411658438474462,16,
767294194376883747,16,inflammatory response
31040007257512199,16,
1462629684605633731,16,GTPase activity
2184531165165863350,16,
2101787305400630634,16,
1066321830542018062,16,
927512535402403106,15,
1667800398846839270,15,
954027936710682599,15,
1648255396373875467,15,cytoskeletal motor activity
119798754314652159,15,
1157425199614030748,15,
543225384765486363,15,inflammatory response
1462201849645461978,15,inflammatory response
1455325222815704391,15,inflammatory response
1872249086608525595,15,inflammatory response
1345993181491332045,15,
1513527450133380421,15,
865580430099493416,15,
307850088227949124,15,
2227581856592139211,15,
1275383584037213395,15,
1186477388151946832,15,wound healing
1720600560701385567,15,
1839429255338144717,15,
733736708340078040,15,inflammatory response
723072974475152321,15,virus receptor activity
450860767935544089,15,
30985048372998227,15,
1193490839155841098,15,
2269070755451585189,14,GTPase activity
1186107825716447885,14,
212427151310712589,14,
601338776858816756,14,GTPase activity
1416959793374751380,14,DNA binding
1122140845482149505,14,molecular adaptor activity
1332063120138743063,14,inflammatory response
1317460179549298757,14,
594033446639215463,14,inflammatory response
1871547211873049937,14,cell adhesion
10372775429728726,14,inflammatory response
566348345603158203,14,cell adhesion
1446360936264234767,14,
1664735167199581465,14,lipid binding
1384108657091700498,14,DNA binding
502629050454059107,14,
2088656201209670063,14,histone binding
1264273223725661505,14,
1521830576992608069,14,
599684210486556048,14,
1297427915084162702,14,inflammatory response
598728564316943019,14,inflammatory response
2017046112221908892,14,GTPase activity
